ID,Layer,Question,Domain,Data Element,FHIR Resource,FHIR Path,Terminology Binding,Binding Strength,Bundle,Code Provenance,Value Provenance,Notes,IG Implementation
Q1.l,Consensus,Q1,Patient History,Workmen's compensation,Coverage,Coverage.type,http://hl7.org/fhir/ValueSet/coverage-type,extensible,Registration,—,Reused,"expert consensus Q1.l ""workmen's compensation"" is one of 13 patient-history factors in the Q1 unanimous-consensus list; the expert consensus names it as a single yes/no clinical flag with no further decomposition. The IG realises a ""yes"" answer as a ShoulderCoverage with Coverage.type = v3-ActCode#WCBPOL (worker's compensation, German Berufsgenossenschaft); ""no""/""unknown"" answers emit no Coverage resource. The clinical/medicolegal rationale is well-established: WC status implies a work-related injury (Arbeitsunfall), triggers a different documentation pathway (Durchgangsarzt-Verfahren), and is a known outcome confounder in shoulder literature. Broader payer categorisation (GKV/PKV/Selbstzahler) is intentionally out of scope — not named by the expert consensus, and the v3-ActCode coverage of German payer types is partial anyway (no exact PKV code; HL7 DE Basisprofil deferred). See ADR-0061.","ShoulderCoverage profile (Parent: Coverage; type 1..1 extensible-bound to coverage-type, fixed in practice to v3-ActCode#WCBPOL by the form). StepPatient.tsx 'Workers' Compensation' yes/no/unknown field emits Coverage entry into RotatorCuffRegistrationBundle.entry[coverage] 0..1 only when 'yes'. Seed bundle Patient-1 (Schmidt, carpenter) demonstrates WCBPOL (BG BAU). SDC frontend: a loose-leaf 'Workers' Compensation / Berufsgenossenschaft' Yes/No/Unknown item in the patientHistory group (no item.definition — gates Coverage emission rather than filling a single element) emits the same Coverage entry, 'Yes' only. See ADR-0131."
Q1.m,Consensus,Q1,Patient History,Hand dominance,Observation,Observation.code | Observation.valueCodeableConcept,SNOMED CT 57427004 | HandDominance,required,Registration,Reused,Reused,"Captured via HandDominanceObservation profile (derived ShoulderObservation child) per ADR-0026; code fixed to SNOMED CT observable entity 57427004 ""Handedness"" (ADR-0115). Value bound to SNOMED CT codes 46669005 / 87683000 / 23088002. No LOINC code exists for handedness.",HandDominanceObservation.code fixed to http://snomed.info/sct#57427004; HandDominance implemented
Q1.n,Consensus,Q1,Patient History,Functional limitations,Observation,Observation.code | Observation.valueCodeableConcept,local:ShoulderObservationCodes#functional-limitation-severity | local:FunctionalLimitationSeverity,required,Registration,Local,Local,"Interpretation: the expert consensus names only 'Functional limitations' with no mechanism specified. The IG realises it as a 5-tier functional-ceiling ordinal (no limitation / overhead-limited / at-shoulder-level-limited / below-shoulder-limited / unable to use the arm), each tier a strict functional subset of the one above and matching how patients are already triaged clinically. A coded ordinal is analyzable across the registry where free text is not — the same reasoning that governs Q1.i sleep disturbance (ADR-0081) and Q1.j sports participation (ADR-0083). Deliberately distinct from the Constant-Murley score's own ADL sub-component (Q12's preferred instrument, component[ADL] 0-20 points, captured at follow-up) — this is a one-item baseline gestalt, not a duplicate instrument. Shared with Q12.c. No SNOMED CT or LOINC concept exists for this axis (verified July 2026). See ADR-0105.",FunctionalLimitationsObservation profile (code = ShoulderObservationCodes#functional-limitation-severity); valueCodeableConcept required-bound to FunctionalLimitationSeverity (5-tier local ordinal).
Q2.a,Consensus,Q2,Physical Examination (Pre-treatment),Inspection,Observation,Observation.code | Observation.valueCodeableConcept,local:ShoulderObservationCodes#atrophy + SNOMED CT 111263009 + local:ShoulderObservationCodes#normal-shoulder-contour | PresentAbsent (SNOMED),required,Registration,Reused + Local,Reused,"Interpretation: the expert consensus names only 'Inspection' with no mechanism. A free-text valueString is not analyzable across the registry, so the IG decomposes it into 3 structured present/absent findings (Atrophy/Deformity/Normal Shoulder Contour). Deformity carries a laterality-neutral SNOMED CT disorder/finding concept. Atrophy stays on a local code: SNOMED CT 1119438000 is a real, current concept but does not resolve against tx.fhir.org's served SNOMED CT International Edition snapshot, which breaks both submission-time client validation and tools/validate.sh; it is a candidate for migration once that served edition carries the concept. Normal Shoulder Contour has no equivalent concept and stays local. See ADR-0086, ADR-0115, ADR-0116. Value bound to standard SNOMED present/absent qualifiers (52101004/2667000).",AtrophyObservation.code local ShoulderObservationCodes#atrophy (ADR-0116); DeformityObservation.code fixed to SNOMED#111263009; NormalShoulderContourObservation stays local; each valueCodeableConcept bound required to PresentAbsent
Q2.b,Consensus,Q2,Physical Examination (Pre-treatment),Active ROM,Observation,Observation.code | Observation.valueQuantity | Observation.valueCodeableConcept,http://loinc.org#41389-8 | http://loinc.org#41381-5 | http://loinc.org#41387-2 | local:ShoulderObservationCodes#internal-rotation (InternalRotationVertebralLevel) | local:ShoulderObservationCodes#external-rotation-90-abduction | local:ShoulderObservationCodes#internal-rotation-90-abduction,required,Registration,Reused + Local,Numeric + Local,"Six measurement axes, not four. Flexion/Abduction/at-side-ER stay LOINC valueQuantity degrees (41389-8/41381-5/41387-2). At-side Internal Rotation is a local valueCodeableConcept 8-tier vertebral-level ordinal (""hand behind back"") rather than a degree measurement — goniometric IR degrees are clinically unreliable at this position (scapulothoracic substitution); the ordinal reuses most of Constant-Murley's own IR landmarks and adds finer rungs, so deriving the Constant ROM sub-score applies a documented lossy remapping. Two local degree axes — ER and IR measured at 90° abduction, an out-of-consensus enrichment — assess capsular tightness/GIRD and rotator-cuff competence that at-side measurement alone cannot quantify. All six rotation axes, active and passive, carry a 0–360° bound: permissive for data entry, not a claim that 360° is physiologically achievable. Flexion and Abduction stay bounded at 180°. Shared with Q12.d (ROM component). See ADR-0045, ADR-0088.","LOINC 41389-8/41381-5/41387-2 on ShoulderFlexionObservation/ShoulderAbductionObservation/ShoulderExternalRotationObservation (valueQuantity deg, max 360 on ER); local #internal-rotation on ShoulderInternalRotationObservation (valueCodeableConcept, InternalRotationVertebralLevel required); local #external-rotation-90-abduction / #internal-rotation-90-abduction on new ShoulderExternalRotation90AbductionObservation / ShoulderInternalRotation90AbductionObservation (valueQuantity deg, max 360)"
Q2.c,Consensus,Q2,Physical Examination (Pre-treatment),Passive ROM,Observation,Observation.code | Observation.valueQuantity | Observation.valueCodeableConcept,http://loinc.org#41390-6 | http://loinc.org#41382-3 | http://loinc.org#41388-0 | local:ShoulderObservationCodes#passive-internal-rotation (InternalRotationVertebralLevel) | local:ShoulderObservationCodes#passive-external-rotation-90-abduction | local:ShoulderObservationCodes#passive-internal-rotation-90-abduction,required,Registration,Reused + Local,Numeric + Local,"Six measurement axes, not four — the passive counterpart of Q2.b, separated from active by a distinct code throughout. See ADR-0045, ADR-0088.","LOINC 41390-6/41382-3/41388-0 on ShoulderPassiveFlexionObservation/ShoulderPassiveAbductionObservation/ShoulderPassiveExternalRotationObservation (valueQuantity deg, max 360 on ER); local #passive-internal-rotation on ShoulderPassiveInternalRotationObservation (valueCodeableConcept, InternalRotationVertebralLevel required); local #passive-external-rotation-90-abduction / #passive-internal-rotation-90-abduction on new ShoulderPassiveExternalRotation90AbductionObservation / ShoulderPassiveInternalRotation90AbductionObservation (valueQuantity deg, max 360)"
Q2.d,Consensus,Q2,Physical Examination (Pre-treatment),Strength (rotator cuff muscles),Observation,Observation.code,local:ShoulderObservationCodes#supraspinatus-strength | local:ShoulderObservationCodes#external-rotation-strength | local:ShoulderObservationCodes#subscapularis-strength | local:ShoulderObservationCodes#internal-rotation-strength | local:ShoulderObservationCodes#supraspinatus-strength-dynamometry,required,Registration,Local,Numeric,"Five measurement axes, not three. Manual muscle testing (0-5 ordinal, Janda grading — equivalent to MRC/Daniels-Worthingham) covers supraspinatus (Jobe position) / external-rotation composite (infraspinatus + teres minor) / subscapularis (lift-off or belly-press isolation) / internal-rotation composite (the mirror position of external-rotation, distinct from subscapularis isolation testing; ADR-0089). Supraspinatus additionally carries a continuous dynamometry kg axis (ADR-0089), because ordinal grading is insensitive to partial supraspinatus weakness at grades 4–5 — dual encoding alongside the ordinal grade, mirroring the Q4.a tear-size cm/Cofield pattern. No shoulder-specific MMT LOINC; no SNOMED/LOINC concept for a 'Janda' grading eponym or for shoulder dynamometry (verified July 2026). Shared with Q12.b (strength component). The supraspinatus ordinal + dynamometry pair is surfaced to clinicians as 'Abduction Strength', the Jobe/empty-can test position being a scapular-plane abduction — a display label only; profile and code identifiers are unaffected. See ADR-0107.","#supraspinatus-strength / #external-rotation-strength / #subscapularis-strength / #internal-rotation-strength in ShoulderObservationCodes (valueQuantity MMT 0-5 each); #supraspinatus-strength-dynamometry (valueQuantity kg, max 50). Frontend labels: 'Abduction Strength (Janda)' / 'Abduction Strength (Dynamometry)' for the supraspinatus pair."
Q2.e,Consensus,Q2,Physical Examination (Pre-treatment),Jobe test (Empty Can),Observation,Observation.code | Observation.valueCodeableConcept,SNOMED CT 1231437004 | PositiveNegative,required,Registration,Reused,Reused,"SNOMED CT procedure concept 1231437004 ""Empty can test"" (synonym ""Jobe test"") verified via terminology server lookup. See ADR-0115.",JobeTestObservation.code fixed to http://snomed.info/sct#1231437004; valueCodeableConcept positive/negative
Q2.f,Consensus,Q2,Physical Examination (Pre-treatment),Lift-off test,Observation,Observation.code | Observation.valueCodeableConcept,SNOMED CT 1231510004 | PositiveNegative,required,Registration,Reused,Reused,"SNOMED CT procedure concept 1231510004 ""Lift-off test"" (synonym ""Gerber test"") verified via terminology server lookup. See ADR-0115.",LiftOffTestObservation.code fixed to http://snomed.info/sct#1231510004; valueCodeableConcept positive/negative
Q2.g,Consensus,Q2,Physical Examination (Pre-treatment),Belly press test,Observation,Observation.code | Observation.valueCodeableConcept,local:ShoulderObservationCodes#belly-press-test | PositiveNegative,required,Registration,Local,Reused,"Local code retained: no belly-press test concept exists in SNOMED CT (verified via the FHIR terminology server, Aug 2026 — zero matches across all domains, though sibling shoulder tests Jobe/lift-off/O'Brien/Yocum are published). SNOMED migration deferred to future work pending publication of a suitable concept.",#belly-press-test in ShoulderObservationCodes; valueCodeableConcept positive/negative
Q2.h,Consensus,Q2,Physical Examination (Pre-treatment),Bear hug test,Observation,Observation.code | Observation.valueCodeableConcept,local:ShoulderObservationCodes#bear-hug-test | PositiveNegative,required,Registration,Local,Reused,"Local code retained: no bear-hug test concept exists in SNOMED CT (verified via the FHIR terminology server, Aug 2026 — zero matches across all domains). SNOMED migration deferred to future work pending publication of a suitable concept.",#bear-hug-test in ShoulderObservationCodes; valueCodeableConcept positive/negative
Q2.i,Consensus,Q2,Physical Examination (Pre-treatment),Hornblower test,Observation,Observation.code | Observation.valueCodeableConcept,local:ShoulderObservationCodes#hornblower-test | PositiveNegative,required,Registration,Local,Reused,"Local code retained: SNOMED CT carries only the finding ""Hornblower sign"" (1231519003), not a Hornblower-test procedure; kept local so all three subscapularis/teres-minor provocation tests share one positive/negative value pattern (a ""sign"" finding cannot take a ""negative"" value). Verified Aug 2026; SNOMED migration deferred to future work pending a test-procedure concept.",#hornblower-test in ShoulderObservationCodes; valueCodeableConcept positive/negative
Q3,Consensus,Q3,Imaging — Radiographs,Radiographs in all patients with suspected RC tear,ImagingStudy,ImagingStudy.modality | ImagingStudy.encounter,http://dicom.nema.org/resources/ontology/DCM,extensible,Registration,Reused,—,"A3 is a single consensus statement — a radiograph should be obtained in all patients. The registry-capturable fact is that a radiograph was obtained, recorded as a ShoulderImagingStudy with DICOM DX (""Digital Radiography"") modality; the consensus names no radiology report object, so none is produced. The Q6 imaging-modality slot is a multi-select (one ImagingStudy per modality) so a radiograph and an advanced study can both be recorded for the same patient. Both frontends build it. No radiology report (DiagnosticReport) object is produced (ADR-0172); multi-select mechanism per ADR-0155.","ShoulderImagingStudy (DICOM DX modality, ImagingModality ValueSet, repeats — one study per modality)"
Q4.a,Consensus,Q4,Tear Classification,Size,Observation,Observation.code | Observation.valueQuantity | Observation.valueCodeableConcept | Condition.stage.assessment,local:ShoulderObservationCodes#tear-size | local:ShoulderObservationCodes#tear-size-classification | CofieldTearSizeClassification,required,"Registration,Surgery",Local,Numeric + Local,"the expert consensus says only 'Size' — IG decomposes into (i) continuous linear cm and (ii) categorical Cofield bucket per ADR-0047; both encoded as sibling Observations on the same Encounter; further split by acquisition context into imaging-derived (pre-op MRI/ultrasound) and intra-operative (direct surgical measurement) sibling profiles per ADR-0104 — both are routinely recorded for the same patient by different means at different times, and disagreement between them is clinically expected and meaningful. No LOINC exists for maximum tear diameter and no SNOMED CT concepts for the Cofield buckets (verified May 2026). The Cofield bucket links to the diagnosis via Condition.stage.assessment as a formal grading (ADR-0073); the raw cm measurement links to neither Condition bucket, reachable via the encounter chain.","#tear-size + #tear-size-classification in ShoulderObservationCodes; tear-size-observation/tear-size-classification-observation (imaging context, category=imaging, Registration bundle) and intraop-tear-size-observation/intraop-tear-size-classification-observation (surgical context, category=exam, Surgery bundle) — same Observation.code per pair, differing only in fixed category (ADR-0104)"
Q4.b,Consensus,Q4,Tear Classification,Tendons involved,Observation,Condition.evidence.detail → TendonsInvolvedObservation.valueCodeableConcept,TendonsInvolved,extensible,Registration,Local,Reused,Structured SNOMED tendon codes carried by TendonsInvolvedObservation linked from the index Condition via evidence.detail. One Observation per affected tendon (natural multi-tendon support including teres minor). Pattern mirrors Patte/Goutallier/Cofield-bucket. See ADR-0064.,TendonsInvolvedObservation.valueCodeableConcept from TendonsInvolved (extensible) — SNOMED tendon codes: 5580002 supraspinatus / 59713001 infraspinatus / 80108009 subscapularis / 700027005 teres minor (ADR-0043)
Q4.c,Consensus,Q4,Tear Classification,Partial vs full thickness,Observation,Observation.code | Observation.valueCodeableConcept,local:ShoulderObservationCodes#tear-thickness | TearThickness,required,Registration,Local,Reused,"Carried on its own TearThicknessObservation rather than on Condition.code, linked to the index RotatorCuffCondition via Condition.evidence.detail — mirrors the same 'one axis, one element' principle already applied to tendon involvement (Q4.b, ADR-0064) and etiology (Q1.e, ADR-0046). Keeping it off Condition.code prevents disease-entity choice from being entangled with thickness. TearThickness ValueSet reuses the same two precoordinated SNOMED disorder-level concepts as Observation values. See ADR-0105.",TearThicknessObservation profile (code = ShoulderObservationCodes#tear-thickness); valueCodeableConcept required-bound to TearThickness (SNOMED 202843000 full-thickness / 202842005 partial-thickness).
Q4.d,Consensus,Q4,Tear Classification,Patte classification (retraction),Observation,Observation.code | Observation.valueCodeableConcept | Condition.stage.assessment,local:ShoulderObservationCodes#patte-classification | PatteClassification,required,Registration,Local,Local,Local CodeSystem — no international standard code exists. Linked to the diagnosis via Condition.stage.assessment as a formal grading (ADR-0073).,PatteClassificationCodes Stage I/II/III; #patte-classification in ShoulderObservationCodes; linked via RotatorCuffCondition.stage.assessment
Q4.e,Consensus,Q4,Tear Classification,Goutallier grade (fatty infiltration),Observation,Observation.code | Observation.valueCodeableConcept | Condition.stage.assessment,local:ShoulderObservationCodes#goutallier-classification | GoutallierClassification,required,Registration,Local,Local,Local CodeSystem — no international standard code exists. Linked to the diagnosis via Condition.stage.assessment as a formal grading (ADR-0073).,GoutallierClassificationCodes Grade 0–4; #goutallier-classification in ShoulderObservationCodes; linked via RotatorCuffCondition.stage.assessment
Q5,Consensus,Q5,Imaging — MRI/CT (advanced),Advanced imaging (MRI or CT) when planning/considering surgery,ImagingStudy | Observation,ImagingStudy.modality | Condition.stage.assessment | Condition.evidence.detail,http://dicom.nema.org/resources/ontology/DCM,extensible,Registration,Reused,—,"A5 is a clinical-timing/indication guideline (""when"" to image), not a ""capture this field"" instruction (verified against Hurley et al. 2024; ADR-0130). Its substance is captured two ways at the same registration encounter: the advanced-modality ShoulderImagingStudy (MR/CT) that was obtained, and the imaging-derived classification Observations — gradings (Patte/Goutallier/Cofield tear-size) linked via Condition.stage.assessment, diagnostic evidence (tendons-involved, tear location, tear thickness) via Condition.evidence.detail (ADR-0073) — a participant cannot have those without advanced imaging having occurred. No imaging order (ServiceRequest) or radiology report (DiagnosticReport) object is required or produced (ADR-0172)","ShoulderImagingStudy.modality (MR/CT) + classification Observations: gradings via Condition.stage.assessment, evidence via Condition.evidence.detail (ADR-0073/ADR-0064 et al.)"
Q6,Consensus,Q6,Imaging — MRI vs CT choice,MRI default; CT preferable when planning arthroplasty,ImagingStudy,ImagingStudy.modality | ImagingStudy.encounter,http://dicom.nema.org/resources/ontology/DCM,extensible,Registration,Reused,—,"A6 is a modality-choice guideline; the concrete registry-capturable fact is simply which modality was used. Both frontends build a lean ShoulderImagingStudy (status+subject+encounter+modality+started, one per modality); modality is bound to a shoulder-scoped ImagingModality ValueSet (MR/CT/US, plus DX for Q3). No imaging order or radiology report object is involved (ADR-0130, ADR-0172). encounter is 0..1 MS rather than the 1..1 that Observations and Procedures carry (ADR-0184): a study a patient brings in from outside predates any registry visit and has no ShoulderEncounter to reference, while a study either flow produces does carry the anchor. See ADR-0187.",ShoulderImagingStudy.modality from ImagingModality (DICOM MR/CT/US); ShoulderImagingStudy.encounter 0..1 MS only Reference(ShoulderEncounter)
Q8.a,Consensus,Q8,Treatment Success Criteria,Improved pain,Observation,Observation.code,local:ShoulderObservationCodes#pain-average/#pain-active-movement/#pain-passive-movement/#pain-rest,required,"Registration,FollowUp",Local,Numeric,Treatment-success component (a); reuses the 4 pain profiles (see ADR-0087). Pre/post differentiated by effectiveDateTime,4 pain profiles; shared with Q1.h and Q12.a
Q8.b,Consensus,Q8,Treatment Success Criteria,Improved range of motion,Observation,Observation.code,http://loinc.org#41389-8 | http://loinc.org#41381-5 | http://loinc.org#41387-2 | local:ShoulderObservationCodes#internal-rotation,required,"Registration,FollowUp",Reused + Local,Numeric + Local,Component (b); reuses Q2.b/Q9.b ROM observations; pre/post via effectiveDateTime,Same LOINC active-ROM codes as Q2.b on Shoulder{Flexion / Abduction / ExternalRotation / InternalRotation}Observation
